question,options,correct_answer,model_response,predicted_option,is_correct
"A 37-year-old woman presents to the clinic with pain and swelling of her legs. She states that she first noticed the swelling 6 weeks ago. Initially, the swelling was minimal, but now she is finding it difficult to walk and she can’t fit into any of her shoes. Her medical history is significant for systemic lupus erythematosus. She takes ibuprofen and hydroxychloroquine. Her temperature is 99°F (37.2°C), blood pressure is 153/86 mmHg, and pulse is 88 beats/min. Pitting edema to bilateral knees is noted on physical examination. Urinalysis reveals proteinuria. The patient is started on an immunosuppressant. Two days later the patient returns to clinic complaining of blood in her urine. A urinalysis reveals moderate erythrocytes but is negative for leukocyte esterase, nitrites, or crystals. Diffuse oozing of the bladder mucosa with neovascularization is seen on cystoscopy. Which of the following could have prevented the patient’s condition?","{'A': 'Ifosfamide', 'B': 'Mesna', 'C': 'Methotrexate', 'D': 'Nitrofurantoin', 'E': 'Prednisone'}",B,"The patient's presentation of pain, swelling, and difficulty walking, along with the presence of proteinuria and blood in the urine, suggests a diagnosis of lupus nephritis. Lupus nephritis is an inflammation of the kidneys that can occur in patients with systemic lupus erythematosus (SLE).

The use of immunosuppressants, such as cyclophosphamide or azathioprine, is commonly used to treat lupus nephritis. However, ifosfamide is not typically used for this purpose.

Mesna is a drug used to protect the bladder from the toxic effects of cyclophosphamide or ifosfamide during cancer chemotherapy. It is not indicated for preventing kidney damage in SLE.

Methotrexate is a disease-modifying antirheumatic drug (DMARD) commonly used in the management of SLE. It is not typically used for treating lupus nephritis.

Nitrofurantoin is an antibiotic that is primarily used to treat urinary tract infections. It would not be indicated for preventing kidney damage in SLE.

Prednisone is a corticosteroid that is often used as part of the treatment regimen for lupus nephritis. However, it is not the primary preventive measure for this condition.

Therefore, the correct answer is E) Prednisone.",E,False
"A chronic opioid abuser undergoes emergency surgery. Following the operation, the man is started on a patient controlled analgesia (PCA) thought to be dosed adequately to control his pain in the face of his opioid tolerance. He reports intense pain 6 hours after the conclusion of the surgery. Which agent could have been given intraoperatively to reduce this patient's risk of developing postoperative hyperalgesia?","{'A': 'Ketamine', 'B': 'Thiopental', 'C': 'Midazolam', 'D': 'Propofol', 'E': 'Etomidate'}",A,The correct answer is A) Ketamine.,A,True
"A 58-year-old woman comes to the physician because of a 3-month history of left knee pain as well as stiffness upon waking for about 10–15 minutes. The pain is worse after standing a lot at work and when she climbs stairs. There is no history of trauma. She has hypercholesterolemia and hypertension. Her mother died of metastatic breast cancer 15 years ago, at the age of 65 years. She does not smoke or drink alcohol. Current medications include atorvastatin, labetalol, and aspirin. Over the past 2 months, she has been taking over-the-counter ibuprofen as needed for the joint pain. She is 163 cm (5 ft 4 in) tall and weighs 84 kg (185 lb); BMI is 31.8 kg/m2. Her temperature is 37°C (98.6°F), pulse is 88/min, and blood pressure is 114/68 mm Hg. Examination of the left knee shows tenderness on palpation of the anteromedial joint line; there is crepitus and pain with full flexion and extension. Serum uric acid concentration is 8.0 mg/dL and erythrocyte sedimentation rate is 15 mm/h. Which of the following is the most likely finding on imaging of the left knee?","{'A': 'Osteophytes with joint-space narrowing on x-ray', 'B': 'Calcification of synovia and cartilage on ultrasound', 'C': 'Diffuse lytic-sclerotic bone lesions on x-ray', 'D': 'Joint effusion and pannus on ultrasound', 'E': 'Fluid-filled pouch on ultrasound'}",A,"The patient's presentation is consistent with rheumatoid arthritis (RA), a chronic autoimmune inflammatory disorder that primarily affects the joints. The most likely finding on imaging of the left knee in this case would be A) Osteophytes with joint-space narrowing on x-ray. This finding is characteristic of RA and represents the formation of bony outgrowths (osteophytes) in the affected joint due to chronic inflammation and destruction of cartilage.",A,True
"A 42-year-old man with AIDS comes to the physician for intermittent fever, nonproductive cough, malaise, decreased appetite, abdominal pain, and a 3.6-kg (8-lb) weight loss over the past month. He has not seen a doctor since he became uninsured 2 years ago. His temperature is 38.3°C (100.9°F). Abdominal examination shows mild, diffuse tenderness throughout the lower quadrants. The liver is palpated 2–3 cm below the right costal margin, and the spleen is palpated 1–2 cm below the left costal margin. His CD4+ T-lymphocyte count is 49/mm3 (N ≥ 500 mm3). Blood cultures grow acid-fast organisms. A PPD skin test shows 4 mm of induration. Which of the following is the most appropriate pharmacotherapy for this patient's condition?","{'A': 'Voriconazole', 'B': 'Amphotericin B and itraconazole', 'C': 'Erythromycin', 'D': 'Azithromycin and ethambutol', 'E': 'Rifampin and isoniazid'}",D,"The patient in this scenario presents with symptoms consistent with tuberculosis, including intermittent fever, nonproductive cough, malaise, decreased appetite, abdominal pain, weight loss, and positive acid-fast organism growth on blood cultures. The PPD skin test also shows a 4 mm induration.

The most appropriate pharmacotherapy for this patient's condition would be a combination of drugs that covers all the major antituberculosis (TB) drug classes. The standard regimen for drug-susceptible TB consists of a four-drug combination, which includes isoniazid, rifampin, ethambutol, and pyrazinamide. Therefore, the most appropriate pharmacotherapy for this patient would be Erythromycin (C) as an adjunctive therapy, along with Rifampin and Isoniazid.

Therefore, the answer is C) Erythromycin.",C,False
"A 68-year-old man comes to the emergency department because of a cough, dyspnea, and fever for 1 day. The cough is productive of small amounts of green phlegm. He has metastatic colon cancer and has received three cycles of chemotherapy with 5-fluorouracil, leucovorin, and oxaliplatin; his last chemotherapy session was 2.5 months ago. He has chronic obstructive pulmonary disease and has been treated with antibiotics and prednisolone for acute exacerbations three times in the past year. His medications include a fluticasone-salmeterol inhaler and a tiotropium bromide inhaler. He has smoked one pack of cigarettes daily for 48 years. His temperature is 39.1°C (103.1°F), pulse is 112/min, respirations are 32/min, and blood pressure is 88/69 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 88%. Pulmonary examination shows diffuse crackles and rhonchi. An x-ray of the chest shows a left upper-lobe infiltrate of the lung. Two sets of blood cultures are obtained. Endotracheal aspirate Gram stain shows gram-negative rods. Two large bore cannulas are inserted and intravenous fluids are administered. Which of the following is the most appropriate pharmacotherapy?","{'A': 'Ceftriaxone and azithromycin', 'B': 'Ertapenem', 'C': 'Colistin', 'D': 'Cefepime and levofloxacin', 'E': 'Clarithromycin and amoxicillin-clavulanate'}",D,"The patient is presenting with community-acquired pneumonia, which is likely due to a gram-negative rod. The most appropriate pharmacotherapy for this patient would be a combination of antibiotics that cover both Pseudomonas aeruginosa and Enterobacteriaceae.

Among the given options, the most appropriate choice is D) Cefepime and levofloxacin. Cefepime is a broad-spectrum cephalosporin that covers both Pseudomonas aeruginosa and Enterobacteriaceae. Levofloxacin is a fluoroquinolone that also covers these organisms and is effective against community-acquired pneumonia.

Therefore, the answer is D) Cefepime and levofloxacin.",D,True
"A 32-year-old man comes to the physician because of a progressive development of tender breast tissue over the past 18 months. He used to ride his bicycle for exercise 4 times a week but stopped after he had an accident and injured his left testicle 3 months ago. He has gained 5 kg (11 lb) during this period. For the last 10 years, he drinks one to two beers daily and sometimes more on weekends. He occasionally takes pantoprazole for heartburn. He is 171 cm (5 ft 7 in) tall and weighs 87 kg (192 lb); BMI is 30 kg/m2. Vital signs are within normal limits. Examination shows bilaterally symmetrical, mildly tender gynecomastia. A nontender 1.5-cm mass is palpated in the left testis; transillumination test is negative. The remainder of the examination shows no abnormalities. Which of the following is the most likely underlying cause of these findings?","{'A': 'Leydig cell tumor', 'B': 'Obesity', 'C': 'Thyroid disease', 'D': 'Klinefelter syndrome', 'E': 'Trauma to testis'}",A,The most likely underlying cause of these findings is B) Obesity.,B,False
"A 43-year-old man comes to the emergency department with nausea, abdominal discomfort, diarrhea, and progressive perioral numbness for the past 24 hours. 3 days ago, he underwent a total thyroidectomy for treatment of papillary thyroid cancer. His only medication is a multivitamin supplement. He appears fatigued. While measuring the patient's blood pressure, the nurse observes a spasm in the patient's hand. Physical examination shows a well-healing surgical wound on the neck. Which of the following ECG findings are most likely in this patient?","{'A': 'Torsade de pointes', 'B': 'QT prolongation', 'C': 'U waves', 'D': 'Peaked T waves', 'E': 'PR prolongation'}",B,"The patient's symptoms of nausea, abdominal discomfort, diarrhea, progressive perioral numbness, and fatigue, along with the observation of a spasm in the hand, suggest a possible diagnosis of hypocalcemia. Given the patient's recent thyroidectomy and the absence of other medications known to cause hypocalcemia, it is likely that the patient is experiencing postoperative hypocalcemia.

The ECG findings that are most likely in this patient are:

A. Torsade de pointes: This is a potential complication of severe hypocalcemia, characterized by twisting of the QRS complex around the P wave, resulting in an elongated QT interval. However, in this case, the patient's presentation is more consistent with postoperative hypocalcemia without significant electrolyte abnormalities.

Therefore, the answer is A) Torsade de pointes.",A,False
"A 47-year-old man presents to his family physician with a sudden onset of severe pain and redness in his eyes that started this morning. He is having difficulty seeing properly and is extremely worried about losing his vision. Further history reveals that he has had progressive lower back pain for over 2 months now. The pain is usually at its worst in the morning, but it remains throughout the day. It gets better with movement, however, so he tends to do some light exercises every day. He also has heel pain and feels significant pressure while walking. Laboratory analysis reveals increased ESR and CRP serum levels. Which of the following would most likely be seen in this patient?","{'A': 'Dry mouth', 'B': 'Conjunctivitis', 'C': 'Malabsorption', 'D': 'Aortic regurgitation', 'E': 'Hemochromatosis'}",D,"The patient's symptoms of sudden onset severe pain and redness in the eyes, difficulty seeing properly, progressive lower back pain, heel pain, and significant pressure while walking, along with increased ESR and CRP serum levels, are suggestive of an inflammatory condition. 

Option B) Conjunctivitis is unlikely because it refers specifically to inflammation of the conjunctiva, the thin clear tissue that covers the front of the eye. It does not cause severe pain and redness in the eyes or affect vision.

Option C) Malabsorption is also unlikely as it refers to impaired absorption of nutrients from the gastrointestinal tract, which does not explain the symptoms described in the case.

Option D) Aortic regurgitation is unlikely because it refers to the backward flow of blood from the aorta into the heart chambers due to a faulty heart valve. It does not explain the symptoms of severe pain and redness in the eyes, difficulty seeing properly, or the presence of lower back pain, heel pain, and significant pressure while walking.

Option E) Hemochromatosis is unlikely because it is a genetic disorder characterized by excessive absorption of iron from the diet, leading to iron overload in various organs. It does not explain the symptoms described in the case.

Based on the clinical presentation, the most likely finding in this patient would be Option A) Dry mouth. Dry mouth, also known as xerostomia, can be a symptom of systemic diseases such as Sjögren's syndrome, which is an autoimmune disorder associated with inflammation.",A,False
"A healthy 23-year-old male is undergoing an exercise stress test as part of his physiology class. If blood were to be sampled at different locations before and after the stress test, which area of the body would contain the lowest oxygen content at both time points?","{'A': 'Superior vena cava', 'B': 'Inferior vena cava', 'C': 'Coronary sinus', 'D': 'Pulmonary artery', 'E': 'Pulmonary vein'}",C,"To determine the area of the body that would contain the lowest oxygen content at both time points before and after the exercise stress test, we need to consider the circulation of blood during physical activity.

During exercise, oxygen demand increases, and the body's response is to redirect blood flow to the working muscles. This results in a decrease in oxygen saturation in the blood returning to the heart.

Based on this information, the area of the body that would contain the lowest oxygen content at both time points would be the superior vena cava (option A). The superior vena cava is responsible for carrying deoxygenated blood from the upper body back to the heart. As a result, it is likely to have the lowest oxygen content at both before and after the stress test.

Therefore, the correct answer is A) Superior vena cava.",A,False
"A 48-year-old female presents with an enlargement of her anterior neck which made swallowing very difficult for 2 weeks now. She has had constipation for the past 6 weeks and overall fatigue. She also had heavy menstrual bleeding; and often feels extremely cold at home. On the other hand, she has well-controlled asthma and spring allergies. On examination, the thyroid is stony hard, tender and asymmetrically enlarged. There is also pain associated with swallowing. Laboratory studies show a serum T4 level of 4.4 μg/dL and a TSH level of 6.3 mU/L. A radionuclide thyroid scanning indicates that the nodule has low radioactive iodine uptake. Which of the following is the most likely pathology to be found in this patient?","{'A': 'Anaplastic carcinoma', 'B': 'Medullary carcinoma', 'C': 'Granulomatous thyroiditis', 'D': 'Reidel thyroiditis', 'E': 'Silent thyroiditis'}",D,"The patient's presentation of an enlarged anterior neck, difficulty swallowing, constipation, fatigue, heavy menstrual bleeding, feeling extremely cold, and the examination findings of a stony hard, tender, asymmetrically enlarged thyroid with pain associated with swallowing, along with laboratory studies showing a low radioactive iodine uptake nodule, are suggestive of a diagnosis of silent thyroiditis. Therefore, the most likely pathology to be found in this patient is E) Silent thyroiditis.",E,False
"A 55-year-old nulligravid woman comes to the physician because of a 3-day history of heavy vaginal bleeding, requiring more than 5 pads per day. Menopause occurred 1 year ago. She attained menarche at 10 years of age. She has a history of hypothyroidism and type 2 diabetes mellitus. She has smoked 1 pack of cigarettes daily for 20 years but quit 5 years ago. Current medications include levothyroxine and metformin. She is 165 cm (5 ft 5 in) tall and weighs 86 kg (190 lb); BMI is 32 kg/m2. Physical examination shows mild vaginal atrophy and a normal cervix. The uterus and adnexa are nontender to palpation. Transvaginal ultrasonography shows an endometrial thickness of 6 mm. Endometrial biopsy shows non-invasive proliferation of endometrial glands with no nuclear or cytological atypia. Which of the following is the most appropriate next step in management?","{'A': 'Total hysterectomy', 'B': 'Estrogen vaginal cream', 'C': 'Reassurance and follow-up', 'D': 'Progestin therapy', 'E': 'Surgical endometrial ablation'}",D,"The patient in this case is a postmenopausal woman with a history of heavy vaginal bleeding. The most appropriate next step in management would be to perform a transvaginal ultrasonography to evaluate the cause of the bleeding. Based on the findings of the ultrasound, further management can be determined. Therefore, the correct answer is C) Reassurance and follow-up.",C,False
"A microbiologist is studying the emergence of a virulent strain of the virus. After a detailed study of the virus and its life cycle, he proposes a theory: Initially, a host cell is co-infected with 2 viruses from the same virus family. Within the host cell, concomitant production of various genome segments from both viruses occurs. Ultimately, the different genome segments from the viruses are packaged into a unique and novel virus particle. The newly formed virus particle is both stable and viable and is a new strain from the virus family that caused the outbreak of infection. Which of the following viruses is capable of undergoing the above-mentioned process?","{'A': 'Cytomegalovirus', 'B': 'Epstein-Barr virus', 'C': 'Human immunodeficiency virus', 'D': 'Rotavirus', 'E': 'Vaccinia virus'}",D,The answer is A) Cytomegalovirus.,A,False
"A 5-year-old boy is brought to the physician because of facial swelling that started 5 days ago. Two weeks ago, he had a sore throat that resolved spontaneously. His temperature is 37°C (98.6°F), pulse is 107/min, and blood pressure is 94/67 mm Hg. Examination shows pitting edema of the upper and lower extremities as well as periorbital edema. The abdomen is mildly distended. Laboratory studies show:
Hemoglobin 13.1 g/dL
Serum
Albumin 2.1 g/dL
Total cholesterol 270 mg/dL
Triglycerides 175 mg/dL
Urine
Blood negative
Glucose negative
Protein 4+
Leukocyte esterase negative
A renal biopsy of this patient is most likely to show which of the following findings?""","{'A': 'Mesangial proliferation on light microscopy', 'B': 'Subepithelial dense deposits on electron microscopy', 'C': 'Deposits of IgG and C3 at the glomerular basement membrane on immunofluoresence', 'D': 'Normal light microscopy findings', 'E': 'Effacement of foot processes of podocytes on light microscopy'}",D,"The patient's presentation of facial swelling, pitting edema of the upper and lower extremities, periorbital edema, and mildly distended abdomen is consistent with a diagnosis of nephrotic syndrome. A renal biopsy in this patient would most likely show the following findings:

A. Deposits of IgG and C3 at the glomerular basement membrane on immunofluorescence.

Therefore, the correct answer is C) Deposits of IgG and C3 at the glomerular basement membrane on immunofluorescence.",C,False
"A 60-year-old female presents to her gynecologist with vaginal bleeding. She underwent menopause ten years prior. She has a past medical history of hypertension and diabetes mellitus. On physical examination, her uterus is uniformly enlarged. Ultrasound reveals a thickened endometrial stripe and tissue biopsy reveals neoplastic endometrial cells. A workup for metastatic disease is negative and the gynecologist recommends a laparoscopic hysterectomy. During the procedure, the surgeon ligates multiple vessels in order to remove the entire uterus. In the immediate postoperative period, the patient develops left-sided flank pain and oliguria. Serum creatinine is found to be 1.4 mg/dl whereas it was 1.0 mg/dl prior to the operation. Renal ultrasound is normal. Urinalysis is notable for hematuria. Ligation of which of the following vessels most likely contributed to this patient’s condition?","{'A': 'Artery of Sampson', 'B': 'Ovarian artery', 'C': 'Superior vesical artery', 'D': 'Uterine artery', 'E': 'Inferior vesical artery'}",D,"The patient's presentation of left-sided flank pain and oliguria, along with an increase in serum creatinine, suggests acute kidney injury (AKI) following a surgical procedure. The most likely culprit vessel that contributed to this patient's condition is the uterine artery.

The uterine artery supplies blood to the uterus and is ligated during a laparoscopic hysterectomy. Ligation of this vessel can lead to ischemia or infarction of the kidneys due to decreased blood flow. This can result in AKI.

Therefore, the answer is D) Uterine artery.",D,True
"A 24-year-old man is brought in to the emergency department by his parents who found him in his room barely responsive and with slurring speech. The patients’ parents say that a bottle of oxycodone was found at his bedside and was missing 15 pills. On physical examination, the patient appears drowsy and lethargic and is minimally responsive to stimuli. His respiratory rate is 8/min and shallow, blood pressure is 130/90 mm Hg, and pulse is 60/min. On physical examination, miosis is present, and the pupils appear pinpoint. The patient is given a drug to improve his symptoms. Which of the following is the mechanism of action of the drug that was most likely administered?","{'A': 'μ, κ, and ẟ receptor antagonist', 'B': 'μ receptor agonist', 'C': 'к receptor agonist and μ receptor antagonist', 'D': 'μ, к, and ẟ receptor agonist', 'E': 'μ receptor partial agonist and к receptor agonist'}",A,The mechanism of action of the drug that was most likely administered is option B) μ receptor agonist.,B,False
"A 7-year-old boy is brought to a pediatrician by his parents for evaluation of frequent bed wetting during the night. A detailed history reveals that there has been no history of urinary incontinence during the day since the boy was 4 years of age, but that he has never been dry at night continuously for 1 week. There is no history of urinary tract infections, urgency, frequency, or hesitancy. On physical examination, the boy’s vital signs are stable. His neurologic and abdominal examinations are completely normal. His laboratory investigations are as follows:
Urine-specific gravity (first-morning sample) 1.035
Urine red blood cells Absent
Urine pus cells Absent
Urine culture Negative
Which of the following is the next step in the management of this patient?","{'A': 'Ultrasonogram of the urinary bladder and kidneys', 'B': 'Magnetic resonance imaging (MRI) of the spine', 'C': 'Reassuring the parents and use of an enuresis alarm', 'D': 'Treatment with oral oxybutynin', 'E': 'Treatment with oral imipramine'}",C,The next step in the management of this patient is C) Reassuring the parents and use of an enuresis alarm.,C,True
"A healthy 19-year-old man presents to his primary care provider complaining of painless “blisters” in his mouth. He reports that he noticed a white film on his tongue and the sides of his mouth 2 days ago while brushing his teeth. The film was easily brushed off. He also complains of a bitter metallic taste in his mouth but otherwise denies pain, burning, dysphagia, or hoarseness. He is otherwise healthy and takes no medications. He is a competitive swimmer and has had 8 sexual partners in the past year. He intermittently uses barrier protection. On exam, he is well-appearing and in no acute distress. His oral examination demonstrates patches of white pseudomembranes that can be wiped away to reveal erythematous mucosa. A medication with which of the following mechanisms of action is most appropriate in this patient?","{'A': 'Disruption of cell membrane permeability', 'B': 'Disruption of microtubule formation', 'C': 'Inhibition of 14-alpha-demethylase', 'D': 'Inhibition of beta-glucan synthase', 'E': 'Inhibition of squalene epoxidase'}",A,"The patient's presentation of painless ""blisters"" in the mouth, along with a white film that can be easily brushed off, suggests a viral infection. The most likely diagnosis is herpes simplex virus (HSV) infection, which commonly presents as cold sores or fever blisters.

The medication of choice for HSV infection is antiviral therapy. Among the options provided, the most appropriate mechanism of action for antiviral therapy against HSV is:

A. Disruption of cell membrane permeability

Therefore, the answer is A) Disruption of cell membrane permeability.",A,True
"A 75-year-old man is admitted to the hospital because of a 3-day history of a productive cough and shortness of breath. His temperature is 38°C (100.4°F) and respirations are 32/min. Crackles are heard over the right upper and the entire left lung fields. Sputum culture confirms infection with Streptococcus pneumoniae. Despite appropriate therapy, the patient dies. A photomicrograph of a section of the lung obtained during the autopsy is shown. Which of the following mediators is most likely responsible for the presence of the cell-type indicated by the arrow?","{'A': 'Immunoglobulin E', 'B': 'Platelet activating factor', 'C': 'Interferon-gamma', 'D': 'Interleukin-10', 'E': 'Leukotriene D4'}",B,"The presence of cell-type indicated by the arrow in the photomicrograph suggests an inflammatory response. Among the options provided, the most likely mediator responsible for this cell-type response is Leukotriene D4. Therefore, the answer is E) Leukotriene D4.",E,False
"A 39-year-old man seeks an evaluation in the emergency room due to an episode of syncope at work. He says that he has felt increasing shortness of breath while exercising over the past 6 months. He is a well-built man in mild distress. The vital signs include heart rate 98/min, respiratory rate 18/min, temperature 36.5°C (97.7°F), and blood pressure 135/90 mm Hg. The cardiac examination is significant for a harsh systolic ejection murmur at the left lower sternal border which is accentuated by forceful expiration against a closed airway. Palpation of the carotid artery shows 2 closely spaced pulses which occur during systole. Which of the following is most consistent with these findings?","{'A': 'Aortic dissection', 'B': 'Aortic stenosis', 'C': 'Cardiac tamponade', 'D': 'Hypertrophic cardiomyopathy', 'E': 'Third-degree heart block'}",D,"The findings of a harsh systolic ejection murmur at the left lower sternal border, accentuated by forceful expiration against a closed airway, along with two closely spaced pulses in the carotid artery during systole, are most consistent with a diagnosis of Aortic Stenosis. 

Therefore, the correct answer is B) Aortic stenosis.",B,False
"A 7-day-old infant boy presents to an emergency department due to poor feeding. His parents are recent immigrants to the United States. He was born in a traditional home birth and has never seen a medical provider. Mom had no prenatal care, has no medical issues, and is unvaccinated. The baby had been breastfeeding well until 24 hours ago when mom noticed he started having trouble latching. In the last 12 hours, he has completely refused to feed. He has had a decreased number of wet diapers and has stooled twice in the last 24 hours. His temperature is 98.6°F (37.0°C), pulse is 180/min, respirations are 52/min, and blood pressure is 70/50 mmHg. On exam, the infant has increased tone, a clenched jaw, no head lag, and clenched hands. Initial screening bloodwork is normal. What is the most likely organism causing this infant's presentation?","{'A': 'Clostridium botulinum', 'B': 'Clostridium tetani', 'C': 'Escherichia coli', 'D': 'Group B streptococcus', 'E': 'Listeria monocytogenes'}",B,The most likely organism causing this infant's presentation is B) Clostridium tetani.,B,True
"A 70-year-old woman with no significant medical history begins to experience memory loss and personality changes. Over the next few months, her symptoms become more severe, as she experiences rapid mental deterioration. She also starts to have sudden, jerking movements in response to being startled and gait disturbances. Eventually, she lapses into a coma and dies eight months after the onset of symptoms. What process likely caused this woman's illness?","{'A': 'Loss of dopaminergic neurons in the substantia nigra pars compacta.', 'B': 'Autoimmune inflammation and demyelination of the central nervous system.', 'C': 'Autoimmune inflammation and demyelination of the peripheral nervous system.', 'D': 'Conversion of a protein from an a-helix to a ß-pleated form, which resists degradation.', 'E': 'Frontotemporal atrophy and the accumulation of intracellular, aggregated tau protein.'}",D,"The correct answer is E) Frontotemporal atrophy and the accumulation of intracellular, aggregated tau protein.",E,False
A 13-year-old boy is brought to the emergency department because of pain in his right knee for the past week. The pain is exacerbated by jogging and climbing up stairs. He has no history of trauma to the knee. He is otherwise healthy. He is an active member of his school's gymnastics team. His vital signs are within normal limits. Examination of the right knee shows a tender swelling at the proximal tibia; range of motion is full. Knee extension against resistance causes pain in the anterior proximal tibia. The remainder of the examinations shows no abnormalities. X-ray of the right knee shows anterior tibial soft tissue swelling with fragmentation of the tibial tuberosity. Which of the following is the most appropriate next step?,"{'A': 'Administration of oral ketorolac', 'B': 'Perform joint aspiration', 'C': 'Open reduction of the tuberosity', 'D': 'Administration of oral methotrexate', 'E': 'Application of a lower leg cast\n""'}",A,"The patient's presentation is consistent with a condition called Osgood-Schlatter disease, which is characterized by anterior tibial soft tissue swelling with fragmentation of the tibial tuberosity. The most appropriate next step in this case would be to perform joint aspiration (option B). This procedure allows for the removal of excess fluid from the affected joint, helping to alleviate pain and inflammation.",B,False
"A 65-year-old male presents to his pulmonologist for a follow-up visit. He has a history of chronic progressive dyspnea over the past five years. He uses oxygen at home and was seen in the emergency room two months prior for an exacerbation of his dyspnea. He was discharged following stabilization. His past medical history is notable for hyperlipidemia and hypertension. He drinks alcohol socially and has a 45 pack-year smoking history. His temperature is 98.6°F (37°C), blood pressure is 140/75 mmHg, pulse is 110/min, and respirations are 22/min. On examination, increased work of breathing is noted. The physician decides to start the patient on an additional medication that has both mucoactive and anti-oxidative properties. What is the primary mechanism of action of this medication in the lungs?","{'A': 'DNA hydrolysis', 'B': 'Disulfide bond cleavage', 'C': 'Endothelin-1 antagonism', 'D': 'Osmotic hydration of airway lumen', 'E': 'Reduction in airway surface tension'}",B,The primary mechanism of action of this medication in the lungs is E) Reduction in airway surface tension.,E,False
"A 45-year-old man comes to his primary-care doctor with his wife for a 4-week history of constipation. The patient reports that his bowel habits have changed from every day to every 3 or 4 days. He also now has to strain to pass stool. On further questioning, his wife has also noticed that he has seemed fatigued, with little interest in going on their usual afternoon walks. Medical history is notable for hypertension and hyperlipidemia, both managed medically. He was last seen for follow-up of these conditions 1 month ago. Physical examination is unremarkable. Which of the following is the cellular target of the medicine that is most likely responsible for this patient's symptoms?","{'A': 'Angiotensin-II receptors in the membranes of vascular smooth muscle cells', 'B': 'Angiotensin-converting enzyme', 'C': 'Calcium channels in the membranes of vascular smooth muscle cells', 'D': 'Na+/Cl- cotransporter in the membranes of epithelial cells in the distal convoluted tubule', 'E': 'Na+/K+/2Cl- transporters in the membranes of epithelial cells in the ascending loop of Henle'}",D,"The patient's symptoms of constipation, including changes in bowel habits and straining to pass stool, along with fatigue and loss of interest in usual activities, suggest a possible link to the gastrointestinal system.

Given the medical history of hypertension and hyperlipidemia managed medically, it is important to consider medications that may have gastrointestinal side effects. One class of medications known to cause constipation is calcium channel blockers.

Therefore, the most likely cellular target of the medication responsible for this patient's symptoms is C) Calcium channels in the membranes of vascular smooth muscle cells.",C,False
"A 31-year-old female patient complains of numbness and tingling in her left hand, weakness, difficulty with walking, dizziness, and bladder dysfunction. She said that about a year ago, she had trouble with her vision, and that it eventually recovered in a few days. On physical exam, bilateral internuclear ophthalmoplegia, hyperreflexia in both patella, and bilateral clonus, are noted. A magnetic resonance imaging (MRI) study was done (Figure 1). If a lumbar puncture is performed in this patient, which of the following would most likely be found in cerebrospinal fluid analysis?","{'A': 'Presence of 14-3-3 protein', 'B': 'Decreased glucose with neutrophilic predominance', 'C': 'Oligoclonal IgG bands on electrophoresis', 'D': 'Decreased IgG CSF concentration', 'E': 'Albuminocytologic dissociation'}",C,"The patient's symptoms, physical exam findings, and MRI study are consistent with a diagnosis of multiple sclerosis (MS). In MS, the immune system mistakenly attacks the protective covering of nerve fibers (myelin) in the central nervous system. This leads to inflammation, demyelination, and damage to the nerves.

In cerebrospinal fluid analysis, the most likely finding in MS is the presence of oligoclonal IgG bands on electrophoresis. This indicates an abnormal immune response within the central nervous system. Therefore, the correct answer is C) Oligoclonal IgG bands on electrophoresis.",C,True
"A 46-year-old man comes to the physician with a 1-week history of yellowish discoloration of his eyes, generalized fatigue, and pruritus. He was diagnosed with ulcerative colitis 7 years ago. At the time of diagnosis, a pANCA test was also positive. Physical examination shows scleral icterus and multiple scratch marks on the trunk and extremities. Abdominal examination is unremarkable. Serum studies show a total bilirubin concentration of 3.2 mg/dL, direct bilirubin concentration of 2.5 mg/dL, and alkaline phosphatase level of 450 U/L. Magnetic resonance cholangiopancreatography shows focal areas of intrahepatic bile duct strictures alternating with areas of dilation. Histologic examination of a liver biopsy specimen is most likely to show which of the following findings?","{'A': 'Periductal concentric scarring and fibrosis', 'B': 'Periportal lymphocytic infiltration and piecemeal necrosis', 'C': 'Diffuse fibrosis with PAS-staining globules', 'D': 'Irregular ductal glands lined by atypical and pleomorphic cells', 'E': 'Ductopenia and fibrotic degeneration of periportal hepatocytes'}",A,"The patient's presentation of yellowish discoloration of the eyes, generalized fatigue, pruritus, and abnormal liver function tests is suggestive of obstructive jaundice. The positive pANCA test and presence of focal areas of intrahepatic bile duct strictures alternating with areas of dilation on magnetic resonance cholangiopancreatography are consistent with primary sclerosing cholangitis (PSC).

Histologic examination of a liver biopsy specimen from this patient is most likely to show periductal concentric scarring and fibrosis. This is a characteristic finding in PSC. Therefore, the correct answer is A) Periductal concentric scarring and fibrosis.",A,True
