question,options,correct_answer,model_response,predicted_option,is_correct
"A 46-year-old man comes to the physician with a 1-week history of yellowish discoloration of his eyes, generalized fatigue, and pruritus. He was diagnosed with ulcerative colitis 7 years ago. At the time of diagnosis, a pANCA test was also positive. Physical examination shows scleral icterus and multiple scratch marks on the trunk and extremities. Abdominal examination is unremarkable. Serum studies show a total bilirubin concentration of 3.2 mg/dL, direct bilirubin concentration of 2.5 mg/dL, and alkaline phosphatase level of 450 U/L. Magnetic resonance cholangiopancreatography shows focal areas of intrahepatic bile duct strictures alternating with areas of dilation. Histologic examination of a liver biopsy specimen is most likely to show which of the following findings?","{'A': 'Periductal concentric scarring and fibrosis', 'B': 'Periportal lymphocytic infiltration and piecemeal necrosis', 'C': 'Diffuse fibrosis with PAS-staining globules', 'D': 'Irregular ductal glands lined by atypical and pleomorphic cells', 'E': 'Ductopenia and fibrotic degeneration of periportal hepatocytes'}",A,"The patient has a history of ulcerative colitis and a positive pANCA test, which are associated with primary sclerosing cholangitis (PSC). The MRCP findings of focal areas of intrahepatic bile duct strictures alternating with areas of dilation are characteristic of PSC. The histologic examination in PSC typically shows periductal concentric scarring and fibrosis. Therefore, the answer is A) Periductal concentric scarring and fibrosis.",A,True
"A 29-year-old woman presents to the physician with a blurred vision of her right eye for 2 days. She has pain around her right eye during eye movement. She takes no medications. At the clinic, her blood pressure is 110/70 mm Hg, the pulse is 72/min, respirations are 15/min, and the temperature is 36.5℃ (97.7℉). On physical examination, illumination of the left eye results in bilateral pupillary constriction while illumination of the right eye results in a mild bilateral pupillary dilation. Fundoscopic examination shows optic disk swelling in the right eye. The color vision test shows decreased perception in the right eye. The remainder of the physical examination shows no abnormalities. Specific additional history should be obtained regarding which of the following?","{'A': 'Dry eyes', 'B': 'High-risk sexual behaviour', 'C': 'Oral ulcers', 'D': 'Sensory loss', 'E': 'Late preterm birth'}",D,"The patient presents with symptoms of blurred vision, pain with eye movement, and an abnormal pupillary response to light in the right eye. The fundoscopic examination reveals optic disk swelling, and there is decreased color vision in the right eye. These findings are suggestive of optic neuritis, which is often associated with multiple sclerosis (MS). MS can be associated with a history of late preterm birth. Therefore, obtaining a history of late preterm birth would be relevant in this case. The answer is E) Late preterm birth.",E,False
"A 24-year-old man with chronic back pain comes to the physician to establish care after moving to Florida. He complains of anxiety, nausea, abdominal cramping, vomiting, and diarrhea for three days. He denies smoking, drinking alcohol, and using illicit drugs. He appears restless. His temperature is 37°C (98.6°F), pulse is 110/min, and blood pressure is 150/86 mm Hg. Physical examination shows dilated pupils, diaphoresis, and piloerection. His abdominal exam shows diffuse mild tenderness. There is no rebound tenderness or guarding. His hemoglobin concentration is 14.5 g/dL, leukocyte count is 8,000/mm, and platelet count is 250,000/mm3; serum studies and urinalysis show no abnormalities. Which of the following is the most appropriate pharmacotherapy?","{'A': 'Lorazepam', 'B': 'Naltrexone', 'C': 'Methadone', 'D': 'Morphine', 'E': 'Naloxone\n""'}",C,"The patient presents with symptoms of anxiety, nausea, abdominal cramping, vomiting, and diarrhea, as well as dilated pupils, diaphoresis, and piloerection. These symptoms are consistent with opioid withdrawal. The patient denies using illicit drugs, but it is important to note that prescription medications can also contain opioids. Given the clinical presentation and the absence of abnormalities in the serum studies and urinalysis, the most appropriate pharmacotherapy would be to treat the withdrawal symptoms.

The options provided include:
A. Lorazepam - an anxiolytic that can be used to treat anxiety but is not the first-line treatment for opioid withdrawal.
B. Naltrexone - an opioid antagonist used primarily for relapse prevention in opioid dependence after the withdrawal phase.
C. Methadone - a long-acting opioid agonist used for maintenance therapy in opioid dependence and can also be used for opioid detoxification.
D. Morphine - a short-acting opioid agonist that can be used to treat moderate to severe pain but is not typically used for opioid withdrawal.
E. Naloxone - an opioid antagonist used for the emergency treatment of opioid overdose, not for opioid withdrawal management.

The most appropriate pharmacotherapy for this patient, considering the clinical presentation and the goal of treating opioid withdrawal, would be methadone (C) as it can alleviate withdrawal symptoms and is commonly used in the management of opioid dependence. Therefore, the answer is C) Methadone.",C,True
"A 54-year-old male presents to his primary care physician complaining of fatigue. He reports that he recently went on a vacation to South America with his family but just wanted to stay in his hotel all day due to fatigue. His past medical history is notable for hyperlipidemia and hypertension. He takes lovastatin and lisinopril. He drinks socially and has a 20 pack-year smoking history. His temperature is 99°F (37.2°C), blood pressure is 130/75 mmHg, pulse is 80/min, and respirations are 16/min. On exam, the patient is appropriately interactive and in no acute distress. Mild splenomegaly is noted. Laboratory analysis reveals the following:

Hemoglobin: 11.0 g/dL
Hematocrit: 36%
Leukocyte count: 3,800/mm^3 with normal differential
Platelet count: 140,000/mm^3

A bone marrow aspiration is ordered but after multiple attempts, they are unable to obtain an adequate bone marrow sample. A peripheral blood smear would likely reveal cells that stain with which of the following stains?","{'A': 'Prussian Blue', 'B': 'Ziehl-Neelsen', 'C': 'Periodic acid-Schiff', 'D': 'Tartrate-resistant acid phosphatase', 'E': 'Giemsa'}",D,"The patient presents with fatigue, mild splenomegaly, and laboratory findings of anemia, leukopenia, and thrombocytopenia. The combination of these findings raises the suspicion of a bone marrow pathology such as aplastic anemia, myelodysplastic syndrome, or a marrow infiltrative process. Since the bone marrow aspiration was unsuccessful, a peripheral blood smear would likely reveal abnormal cells that can provide a clue to the underlying diagnosis.

Option A, Prussian Blue, is used to stain iron-containing granules typically seen in sideroblasts in myelodysplastic syndromes or in the context of sideroblastic anemia.

Option B, Ziehl-Neelsen, is a stain used to identify acid-fast bacilli such as Mycobacterium tuberculosis and would not be relevant in this case.

Option C, Periodic acid-Schiff (PAS), is used to stain glycogen, mucopolysaccharides, and other carbohydrates. Cells that stain with PAS may be seen in infections, certain leukemias, and storage diseases.

Option D, Tartrate-resistant acid phosphatase (TRAP), is an enzyme that can be expressed in hairy cell leukemia, which is a type of chronic leukemia that can present with splenomegaly and cytopenias.

Option E, Giemsa, is a stain that is commonly used for general staining of blood and bone marrow smears. It is useful for identifying abnormal morphology of blood cells.

Given the patient's presentation and laboratory findings, the most likely abnormal cells to be seen on a peripheral blood smear would be those indicative of a bone marrow pathology. Among the options provided, Prussian Blue would be the most specific for certain bone marrow pathologies such as myelodysplastic syndromes or sideroblastic anemia. Therefore, the answer is A) Prussian Blue.",A,False
"A 27-year-old gentleman is brought into the ED after being stabbed in the back by a knife. In addition to the pain from the wound, he complains of weakness in his left leg. Upon physical examination you find that he has no other visible injuries; however, he has 2/5 strength in the left lower extremity. Complete neurologic exam also finds a deficit in vibration sense and light touch on the left lower extremity as well as a loss of pain and temperature sensation in the right lower extremity. Which of the following lesions would result in the syndrome described?","{'A': 'Anterior cord lesion', 'B': 'Posterior cord lesion', 'C': 'Right cord hemisection', 'D': 'Left cord hemisection', 'E': 'Complete cord transection'}",D,"The patient presents with weakness in the left leg, deficit in vibration sense and light touch on the left lower extremity, and loss of pain and temperature sensation in the right lower extremity. This pattern of deficits suggests a lesion that affects the left side of the spinal cord, causing weakness and sensory loss on the left, and a cross-sensory loss of pain and temperature sensation on the right. This pattern is consistent with a left cord hemisection. Therefore, the answer is D) Left cord hemisection.",D,True
"During a Mycobacterium tuberculosis infection, Th1 cells secrete a factor capable of stimulating phagosome-lysosome fusion within macrophages. In addition, the secreted factors help activate macrophages to produce mediators such as NO, which are capable of destroying the invading pathogen. Furthermore, activation of the macrophages by the secreted factor eventually leads to the formation of a tubercle. Which of the following factors is secreted by Th1 cells and responsible for these actions?","{'A': 'IL-4', 'B': 'TNF-alpha', 'C': 'IFN-gamma', 'D': 'Histamine', 'E': 'IL-17'}",C,"The secreted factor responsible for stimulating phagosome-lysosome fusion within macrophages, activating macrophages to produce mediators such as NO, and eventually leading to the formation of a tubercle is IFN-gamma. Therefore, the answer is C) IFN-gamma.",C,True
"A 25-year-old woman comes to the physician because of an acute, painful swelling of the left labia that she first noticed that morning. She also reports some pain while sitting and walking. She is sexually active with her boyfriend and states that she has been having pain during vaginal intercourse lately. She has no history of serious illness. She appears uncomfortable. Her temperature is 38°C (100.4°F), pulse is 90/min, and blood pressure 120/80 mm Hg. Pelvic examination shows a left-sided, tender mass surrounded by edema and erythema in the left inner labia. The remainder of the examination shows no abnormalities. Which of the following is the most appropriate next step in management?","{'A': 'Sitz baths', 'B': 'Cryotherapy', 'C': 'Incision and drainage', 'D': 'Biopsy', 'E': 'Trimethoprim-sulfamethoxazole'}",C,"The patient presents with symptoms of an acute, painful swelling of the left labia, pain during sitting and walking, and pain during vaginal intercourse. The presence of fever (38°C), along with the tender mass surrounded by edema and erythema, suggests an infectious etiology. The most likely diagnosis is a Bartholin gland abscess, which is a bacterial infection of the Bartholin gland located in the labia majora.

The most appropriate next step in management is to treat the infection. The first-line treatment for a Bartholin gland abscess is antibiotics. Trimethoprim-sulfamethoxazole is a commonly used antibiotic for this condition. Therefore, the answer is E) Trimethoprim-sulfamethoxazole.",E,False
"A 72-year-old man develops reduced urine output and a serum creatinine concentration of 2.9 mg/dL three days after being hospitalized for acute diverticulitis. On admission, a complete blood count showed a hemoglobin concentration of 15.5 g/dL and a leukocyte count of 14,000/mm3. Urinalysis showed 2+ proteinuria, and serum studies showed a blood glucose of 145 mg/dL and a creatinine concentration of 1.2 mg/dL. A CT scan of the abdomen confirmed the diagnosis. Therapy with intravenous ketoprofen, piperacillin, and tazobactam was begun, and the patient was placed on bowel rest. He has a history of hypertension, chronic constipation, and type 2 diabetes mellitus. Prior to admission, his medications were insulin, metoprolol, and losartan. Today, his temperature is 37.7°C (99.9°F), pulse is 97/min, respirations are 12/min, and blood pressure is 135/87 mm Hg. The abdomen is soft on physical examination, and there is tenderness to palpation of the left lower quadrant. The remainder of the examination shows no abnormalities. Which of the following is the most likely cause of this patient's current renal findings?","{'A': 'Gastrointestinal blood loss', 'B': 'Adverse drug reaction', 'C': 'Dehydration', 'D': 'Contrast administration', 'E': 'Chronic hypertension\n""'}",D,"The patient's renal findings are likely due to acute kidney injury (AKI), as evidenced by the increased serum creatinine from 1.2 mg/dL to 2.9 mg/dL. AKI can be caused by various factors, including prerenal, intrinsic renal, and postrenal causes. In this case, the patient has a history of hypertension, chronic constipation, and type 2 diabetes mellitus, and is on medications such as insulin, metoprolol, and losartan. The recent administration of intravenous ketoprofen, piperacillin, and tazobactam for acute diverticulitis could potentially contribute to AKI, especially if the patient had decreased renal perfusion due to volume depletion or other causes. However, the question does not provide information about the patient's urine output or signs of volume depletion. Therefore, without further information, it is difficult to determine the exact cause of the patient's renal findings.",A,False
"A 64-year-old man comes to the physician with a 1-week history of sore mouth. He says that swallowing is not painful. He has had asthma for more than 20 years. His only medication is a high-dose combination salmeterol/fluticasone inhaler. His temperature is 37.1°C (98.8°F), pulse is 74/min, respirations are 14/min, and blood pressure is 125/65 mm Hg. A photograph of his oral mucosa is shown. Indirect mirror examination of the posterior oropharynx, larynx, and hypopharynx shows no abnormalities. Which of the following is the most appropriate next step in management?","{'A': 'Azithromycin', 'B': 'Fluconazole', 'C': 'Isotretinoin', 'D': 'Nystatin', 'E': 'Penicillin V'}",D,"The patient presents with a sore mouth but has no abnormalities on indirect mirror examination of the posterior oropharynx, larynx, and hypopharynx. Given his history of asthma and use of a high-dose combination salmeterol/fluticasone inhaler, the most likely diagnosis is oral candidiasis (thrush), which is a common side effect of inhaled corticosteroids. The appropriate treatment for oral candidiasis is an antifungal medication. Among the options provided, fluconazole is an antifungal medication used to treat oral candidiasis. Therefore, the most appropriate next step in management is to treat the patient with fluconazole. The answer is B) Fluconazole.",B,False
"A 21-year-old man comes to the emergency room with swelling and severe pain in his left lower leg that started 2 hours ago. He has no history of serious illness or trauma. His father has a history of pulmonary embolism. He has smoked one pack of cigarettes daily since he started college 3 years ago. He appears very distressed. He is 173 cm (5 ft 8 in) tall and weighs 92 kg (203 lb); BMI is 30.7 kg/m2. His temperature is 37°C (98.6°F), pulse is 94/min, respirations are 17/min, and blood pressure is 130/78 mm Hg. Physical examination shows a tender and mildly swollen left lower leg; dorsiflexion of the left foot causes severe pain in the calf. Laboratory studies show a platelet count of 184,000/mm3, a prothrombin time of 11 seconds, an activated partial thromboplastin time of 26 seconds, and positive fibrin split products. Ultrasonography of the left leg shows incompressibility of the popliteal vein with a hyperechoic mass and absent blood flow. The patient is administered a 5000 IU intravenous bolus of unfractionated heparin followed by a constant infusion. Six hours later, the activated partial thromboplastin time is 30 seconds. Which of the following is the most likely cause of this patient's symptoms?","{'A': 'Hyperhomocysteinemia', 'B': 'Antithrombin III deficiency', 'C': 'Factor V Leiden', 'D': 'Protein C deficiency', 'E': 'Antiphospholipid syndrome'}",B,"The patient presents with symptoms suggestive of deep vein thrombosis (DVT), including swelling, severe pain in the affected leg, and a positive Homan's sign (pain on dorsiflexion of the foot). The presence of a hyperechoic mass and absent blood flow on ultrasonography of the popliteal vein confirms the diagnosis of DVT. The patient's risk factors for thrombosis include a family history of pulmonary embolism, obesity (BMI of 30.7 kg/m2), and smoking. The laboratory findings of positive fibrin split products and elevated D-dimer levels further support the diagnosis of DVT. The administration of unfractionated heparin and the subsequent decrease in activated partial thromboplastin time indicate the anticoagulant effect of heparin. Among the options provided, Factor V Leiden is the most common inherited thrombophilia in Caucasians and can lead to resistance to activated protein C, which increases the risk of DVT. Therefore, the most likely cause of this patient's symptoms is Factor V Leiden.",D,False
"On routine screening, a 62-year-old man is found to have positive fecal occult blood tests. He is asymptomatic, but his father died of large intestinal cancer. Abdominal and rectal exams are normal. A colonoscopy subsequently reveals a polyp in the descending colon but no other abnormalities. Excisional biopsy of the polyp shows 75% tubular architecture. Which of the following is the most likely diagnosis?","{'A': 'Inflammatory polyp', 'B': 'Adenomatous polyp', 'C': 'Hamartomatous polyp', 'D': 'Colorectal cancer', 'E': 'Hemorrhoids'}",B,"The patient has a positive fecal occult blood test, which can be a sign of gastrointestinal bleeding. The presence of a polyp in the descending colon, along with a family history of large intestinal cancer, raises concern for a neoplastic process. The excisional biopsy showing 75% tubular architecture is characteristic of an adenomatous polyp, which is a precancerous lesion and the most common type of polyp found in the colon. Therefore, the most likely diagnosis is B) Adenomatous polyp.",B,True
"A 36-year-old woman comes to the physician for intermittent stabbing face pain. The pain typically occurs in waves of several individual episodes lasting about one second. It is bilateral, but rarely occurs on both sides simultaneously. Touching her face or brushing her teeth can trigger an attack. Four months ago, she had an episode of weakness in her right arm that lasted for about a week. Family history is notable for migrainous headaches in her mother and brother. Vital signs are within normal limits. There is decreased sensation in the V2 and V3 distribution of her face bilaterally. Muscle strength is 3/5 in the left upper extremity and 5/5 in the right upper extremity. There is spasticity of the lower extremities with sustained clonus. Further evaluation is most likely going to reveal which of the following findings?","{'A': 'Gingival swelling, erythema, and pus drainage', 'B': 'Multiple periventricular sclerotic plaques', 'C': 'Erythematous papules in the V2/V3 nerve distribution', 'D': 'Photophobia and phonophobia', 'E': 'Rhinorrhea, lacrimination, and ptosis'}",B,"The patient's symptoms of intermittent stabbing face pain, triggered by touching her face or brushing her teeth, along with decreased sensation in the V2 and V3 distribution of her face, suggest a neuropathic origin, possibly trigeminal neuralgia. The episode of weakness in her right arm and the finding of muscle weakness and spasticity with sustained clonus in the lower extremities indicate a central nervous system disorder. The family history of migrainous headaches may be a red herring in this case.

The most likely diagnosis based on the clinical presentation is multiple sclerosis (MS). MS is a demyelinating disease of the central nervous system that can present with a variety of neurological symptoms, including trigeminal neuralgia and motor weakness. The presence of spasticity, clonus, and a previous episode of weakness further supports this diagnosis.

Option B, multiple periventricular sclerotic plaques, is consistent with the imaging findings in MS. These plaques represent areas of demyelination in the brain and spinal cord and are often seen in patients with MS.

Therefore, the answer is B) Multiple periventricular sclerotic plaques.",B,True
"A 51-year-old man is brought to the emergency department because of a 2-day history of fever, abdominal pain, and confusion. His wife states that he has been unable to recall his birthday or her name. He was diagnosed with hepatitis C 3 years ago but refused treatment. He has been treated twice in the past year for acute pancreatitis. There is no family history of serious illness. His only medication is a calcium supplement. He emigrated from India 15 years ago. He appears ill. His temperature is 38.3°C (100.9°F), pulse is 101/min, and blood pressure is 104/68 mm Hg. He is confused and oriented only to person. Examination shows scleral icterus and spider angiomas. There are fine tremors of the hands bilaterally. The abdomen is distended and shifting dullness is present. There is diffuse tenderness to palpation with no guarding. Bowel sounds are absent. Laboratory studies show:
Hemoglobin 12.6 g/dL
Leukocyte count 13,900/mm3
Platelet count 342,000/mm3
Serum
Albumin 2.6 g/dL
Total bilirubin 2.56 mg/dL
Alkaline phosphatase 54 U/L
AST 17 U/L
ALT 44 U/L
Paracentesis is performed. Ascitic fluid analysis shows an albumin concentration of 0.8 g/dL, glucose concentration of 62 mg/dL, and a leukocyte count of 1900/mm3 with 60% neutrophils. Which of the following is the most likely explanation for these findings?""","{'A': 'Pancreatic fluid leakage', 'B': 'Aseptic peritoneal inflammation', 'C': 'Neoplastic growth', 'D': 'Bacterial translocation', 'E': 'Perforated viscus'}",D,"The patient presents with fever, abdominal pain, confusion, scleral icterus, spider angiomas, fine tremors of the hands, and a distended abdomen with shifting dullness. These findings suggest hepatic dysfunction and portal hypertension, likely secondary to his history of hepatitis C. The absence of bowel sounds and the presence of diffuse tenderness without guarding may indicate an intra-abdominal process. The ascitic fluid analysis shows a low albumin concentration, low glucose, and an elevated leukocyte count with a predominance of neutrophils, which are indicative of spontaneous bacterial peritonitis (SBP). SBP is a common and severe complication in patients with cirrhosis and ascites. The most likely explanation for these findings is bacterial translocation across the dysfunctional gut mucosa in the setting of cirrhosis, leading to SBP. Therefore, the answer is D) Bacterial translocation.",D,True
"A 17-year-old girl comes to the physician because of an 8-month history of severe acne vulgaris over her face, upper back, arms, and buttocks. Treatment with oral antibiotics and topical combination therapy with benzoyl peroxide and retinoid has not completely resolved her symptoms. Examination shows oily skin with numerous comedones, pustules, and scarring over the face and upper back. Long-term therapy is started with combined oral contraceptive pills. This medication decreases the patient's risk developing of which of the following conditions?","{'A': 'Hypertension', 'B': 'Ovarian cancer', 'C': 'Malignant melanoma', 'D': 'Cervical cancer', 'E': 'Breast cancer'}",B,"The combined oral contraceptive pills decrease the risk of developing certain conditions. Among the options provided, the one condition that the use of combined oral contraceptive pills is known to decrease the risk of is B) Ovarian cancer.",A,False
"A obstetrician is working in a developing country to help promote maternal health and fetal well being. While there, he delivers a baby who he suspects has congenital hypothyroidism, most likely caused by inadequate maternal iodine intake. Which of the following signs and symptoms would NOT be expected to be observed in this child?","{'A': 'Hypotonia', 'B': 'Diarrhea', 'C': 'Umbilical hernia', 'D': 'Mild jaundice', 'E': 'Macroglossia'}",B,"The question is asking which sign or symptom would not be expected in a child with congenital hypothyroidism due to inadequate maternal iodine intake. Congenital hypothyroidism can lead to a variety of symptoms including those related to growth and development, as well as metabolism.

A. Hypotonia - Hypotonia, or decreased muscle tone, is a common finding in infants with congenital hypothyroidism.
B. Diarrhea - Diarrhea is not typically associated with congenital hypothyroidism.
C. Umbilical hernia - Umbilical hernias can occur in infants with congenital hypothyroidism due to increased abdominal pressure from decreased muscle tone.
D. Mild jaundice - Mild jaundice can be seen in newborns with congenital hypothyroidism due to delayed liver function.
E. Macroglossia - Macroglossia, or an abnormally large tongue, can also be a feature of congenital hypothyroidism.

Based on the options provided, diarrhea (B) is not a typical symptom of congenital hypothyroidism. Therefore, the answer is B) Diarrhea.",B,True
"A 47-year-old man with a history of HIV1 infection presents to his HIV clinic to discuss his antiretroviral medications. He is interested in including maraviroc in his maintenance regimen after seeing advertisements about the medication. On exam, his temperature is 98.8°F (37.1°C), blood pressure is 116/74 mmHg, pulse is 64/min, and respirations are 12/min. His viral load is undetectable on his current regimen, and his blood count, electrolytes, and liver function tests have all been within normal limits. In order to consider maraviroc for therapy, a tropism assay needs to be performed. Which of the following receptors is affected by the use of maraviroc?","{'A': 'gp41', 'B': 'gp120', 'C': 'gp160', 'D': 'p24', 'E': 'Reverse transcriptase'}",B,The use of maraviroc affects the gp120 receptor.,,False
"A 16-year-old male presents to his pediatrician with complaints of malaise, fatigue, sore throat, and fever over the last several days. His vital signs are as follows: T 39.1 C, HR 82, BP 122/76, RR 14, and SpO2 99%. Physical examination is significant for splenomegaly, tonsillar exudate, and posterior auricular lymphadenopathy. The tonsils are not notably enlarged. Laboratory work-up shows an elevated lymphocyte count, atypical lymphocytes on a peripheral blood smear, and a positive heterophile antibody screen. Which of the following is the best management of this patient's condition?","{'A': 'Bed rest and activity limitation', 'B': 'Acyclovir', 'C': 'Ganciclovir', 'D': 'Amoxicillin', 'E': 'Prednisone'}",A,"The patient's presentation is consistent with infectious mononucleosis, which is commonly caused by the Epstein-Barr virus (EBV). The clinical features such as malaise, fatigue, sore throat, fever, splenomegaly, tonsillar exudate, and posterior auricular lymphadenopathy, along with laboratory findings of elevated lymphocyte count, atypical lymphocytes on peripheral blood smear, and positive heterophile antibody screen, support this diagnosis.

The best management for infectious mononucleosis is supportive care. This includes bed rest, adequate hydration, and activity limitation to prevent the spread of the virus and minimize symptoms. Antibiotics like amoxicillin are not indicated as they can cause a rash when given to patients with infectious mononucleosis. Acyclovir, an antiviral medication, is not routinely used for the treatment of infectious mononucleosis. Ganciclovir is an antiviral medication used for the treatment of cytomegalovirus (CMV) infections, not EBV infections. Prednisone, a corticosteroid, is not indicated in the routine management of infectious mononucleosis and may worsen the infection.

Therefore, the best management of this patient's condition is supportive care, including bed rest and activity limitation. The answer is A) Bed rest and activity limitation.",A,True
"A 15-year-old girl comes to the physician because of episodic pelvic pain radiating to her back and thighs for 4 months. The pain occurs a few hours before her menstrual period and lasts for 2 days. She has been taking ibuprofen, which has provided some relief. Menses have occurred at regular 28-day intervals since menarche at the age of 12 years and last for 5 to 6 days. She is sexually active with two male partners and uses condoms inconsistently. Vital signs are within normal limits. Physical examination shows no abnormalities. Which of the following is the most likely cause of this patient's symptoms?","{'A': 'Endometrial sloughing and uterine contractions mediated by prostaglandin', 'B': 'Ascending infection of the uterus, fallopian tubes, ovaries, or surrounding tissue', 'C': 'Fluid-filled sac within the ovary', 'D': 'Pregnancy', 'E': 'Hormone-sensitive smooth muscle tumor of the myometrium'}",A,"The patient is experiencing episodic pelvic pain that radiates to her back and thighs, occurring a few hours before her menstrual period and lasting for 2 days. This timing suggests that the pain is related to her menstrual cycle. The fact that she has been taking ibuprofen, which has provided some relief, supports the idea that the pain is due to a process that involves prostaglandins, as NSAIDs like ibuprofen inhibit prostaglandin synthesis. Prostaglandins are involved in endometrial sloughing and uterine contractions. The regularity of her menstrual cycle and the absence of abnormalities on physical examination make hormone-sensitive smooth muscle tumors of the myometrium (option E) and ascending infections (option B) less likely. While ovarian cysts (option C) could cause pelvic pain, the cyclical nature of the pain is more suggestive of a process related to the menstrual cycle. Pregnancy (option D) is unlikely given the regularity of her cycles and the fact that she uses condoms, although not consistently. Therefore, the most likely cause of this patient's symptoms is endometrial sloughing and uterine contractions mediated by prostaglandins. The answer is A) Endometrial sloughing and uterine contractions mediated by prostaglandin.",A,True
"An 81-year-old man is brought to the clinic by his son to be evaluated for memory issues. The patient’s son says he has difficulty remembering recent events and names. He says the patient’s symptoms have progressively worsened over the last several years but became acutely worse just recently. Also, yesterday, the patient complained that he could not see out of his right eye, but today he can. When asked about these concerns, the patient seems to have no insight into the problem and reports feeling well. His medical history is significant for diabetes mellitus type 2 and hypertension. He had a left basal ganglia hemorrhage 12 years ago and a right middle cerebral artery infarction 4 years ago. Current medications are amlodipine, aspirin, clopidogrel, metformin, sitagliptin, and valsartan. He lives with his son and can feed himself and change his clothes. There is no history of urinary or fecal incontinence. His vitals include: blood pressure 137/82 mm Hg, pulse 78/min, respiratory rate 16/min, temperature 37.0°C (98.6°F). On physical examination, the patient is alert and oriented. He is unable to perform simple arithmetic calculations and the mini-mental status exam is inconclusive. He can write his name and comprehend written instructions. Muscle strength is 4/5 on the right side. The tone is also slightly reduced on the right side with exaggerated reflexes. His gait is hemiparetic. Which of the following is the most likely diagnosis in this patient?","{'A': ""Alzheimer's disease"", 'B': 'Frontotemporal dementia', 'C': 'Lewy body dementia', 'D': 'Normal-pressure hydrocephalus', 'E': 'Vascular dementia'}",E,"The patient's history of diabetes mellitus type 2 and hypertension, along with his acute worsening of memory and temporary loss of vision, suggests a vascular cause for his cognitive impairment. His history of cerebrovascular accidents (a left basal ganglia hemorrhage and a right middle cerebral artery infarction) further supports this. The presence of muscle weakness, reduced tone, exaggerated reflexes, and a hemiparetic gait also indicate a vascular etiology. Therefore, the most likely diagnosis is vascular dementia.",,False
"A previously healthy 60-year-old man comes to his physician because of progressively worsening shortness of breath for the past 2 months. He does not experience shortness of breath at rest. He also occasionally has a dry cough. He has not had fever, chills, or night sweats. He has smoked a pack of cigarettes daily for the past 40 years. He drinks a beer daily and occasionally more on weekends. He does not use illicit drugs. He is 183 cm (6 ft 0 in) tall and weighs 66 kg (145 lbs); BMI is 19.7 kg/m2. His temperature is 37°C (98.6°F), pulse is 94/min, respirations are 21/min, and blood pressure is 136/88 mm Hg. Lung auscultation reveals a prolonged expiratory phase and end-expiratory wheezing. Spirometry shows an FEV1:FVC ratio of 62%, an FEV1 of 60% of predicted, and a total lung capacity of 125% of predicted. The diffusion capacity of the lung (DLCO) is decreased. Which of the following is the most likely diagnosis?","{'A': 'Interstitial lung disease', 'B': 'Hypersensitivity pneumonitis', 'C': 'Chronic obstructive pulmonary disease', 'D': 'Bronchiectasis', 'E': 'Bronchial asthma'}",C,"The patient is a 60-year-old man with a significant smoking history who presents with progressively worsening shortness of breath and a dry cough. He does not have systemic symptoms such as fever, chills, or night sweats. His physical examination reveals a prolonged expiratory phase and end-expiratory wheezing. Spirometry shows an FEV1:FVC ratio of 62%, an FEV1 of 60% of predicted, and a total lung capacity of 125% of predicted, with a decreased diffusion capacity (DLCO). These findings are consistent with obstructive lung disease, as indicated by the reduced FEV1:FVC ratio and the increased total lung capacity. The history of smoking and the spirometry findings are most suggestive of Chronic Obstructive Pulmonary Disease (COPD). Therefore, the answer is C) Chronic obstructive pulmonary disease.",C,True
"A 72-year-old Caucasian male presents to your office with dysphagia and halitosis. If this patient is also found to have cricopharyngeal muscle dysfunction, which of the following is the most likely cause of his presenting symptoms?","{'A': 'Gastroesophageal reflux disease', 'B': 'Esophageal candidiasis', 'C': 'Glossopharyngeal nerve damage', 'D': ""Meckel's diverticulum"", 'E': ""Zenker's diverticulum""}",E,"The patient's symptoms of dysphagia and halitosis, along with cricopharyngeal muscle dysfunction, are most consistent with a diagnosis of Zenker's diverticulum. Therefore, the answer is E) Zenker's diverticulum.",E,True
